model,variant,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,weighted,0.6711247423198753,0.10951954640405849,0.5615914307574599,0.18329379448120864,0.6567257418615657
Decision Tree,weighted,0.7464427573030318,0.1480783722682743,0.6013771996939556,0.23764172335600908,0.7239895631653803
Random Forest,weighted,0.932827190909548,0.35353535353535354,0.026778882938026015,0.049786628733997154,0.7051463489813384
KNN,weighted,0.9263411936246166,0.213768115942029,0.045141545524101,0.07454200884396715,0.6016608737779409
KNN,weighted,0.9263411936246166,0.213768115942029,0.045141545524101,0.07454200884396715,0.6016608737779409
KNN Unweighted,unweighted,0.9295590527427221,0.22674418604651161,0.029839326702371844,0.05273833671399594,0.5985016721515676
Decision Tree (Tuned),tuned,0.7728895369299613,0.1555793991416309,0.5547054322876818,0.24300318417965477,0.717489620027839
