model,variant,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,weighted,0.6711247423198753,0.10951954640405849,0.5615914307574599,0.18329379448120864,0.6567257418615657
Decision Tree,weighted,0.7461410830107095,0.14791117802032366,0.6013771996939556,0.2374263706388763,0.7237023686322795
Random Forest,weighted,0.932827190909548,0.35353535353535354,0.026778882938026015,0.049786628733997154,0.7051463489813384
KNN,weighted,0.9263411936246166,0.213768115942029,0.045141545524101,0.07454200884396715,0.6016608737779409
